vx	vy	vz
-1.19663289555391E+04	6.80930333966471E+03	-4.30211736453799E+03
-2.07266834980637E+03	-8.97730324267312E+02	-8.14161593470298E+03
2.54813485888583E+03	-2.07394387605692E+03	-6.10795742919328E+03
-3.98455003338567E+03	3.13421152772512E+03	2.68764254893213E+02
4.58596557965659E+03	9.37844750223477E+02	-3.08636082489804E+03
4.79640233089483E+03	1.40261324367676E+03	1.41515743609172E+04
-1.01281306045366E+04	1.25237059131058E+04	3.98983359352941E+03
-7.26153011854442E+03	-5.83040590547819E+02	1.22504403640913E+04
-1.01557936200658E+04	5.61563508324179E+02	-7.1581078540621E+03
2.01861883447671E+03	3.65325531628639E+03	1.02935892851757E+04
-4.13899701354054E+03	-3.09555181462263E+03	-2.46825382730962E+02
-1.2760977145065E+03	-3.09398141704223E+03	6.8322135491946E+03
-2.48642035072078E+03	-3.76824854745336E+03	4.53684245330897E+03
